module,old_name,proposed_name,label,choices
survey,uniqueID,UID,,
survey,deviceid,deviceid,,
survey,collectionDate,collection_date,,
survey,start,start_time,,
survey,end,end_time,,
survey,wc,wc,"


Hi ! Welcome to  
CROP YIELD & PRODUCTION PRACTICES SURVEY 
form. 

Kindly read the instructions carefully for each question before you fill in. 


Unless otherwise indicated, all responses correspond to information 
from __ the largest plot __
for selected crop on each farm ! 


Thank you for filling out !",
survey,consentDisclaimer,consent,"Thank you for the opportunity to speak with you. I would like to interview you and your household for a survey. Our investigation aims at getting insight into different crop production practices & grain yield.

We are inviting you to be a participant in this study.  We value your opinion and there are no right or wrong answers to the questions we will be asking in the interview. All we ask is for your honest answer and opinion.  The interview takes approximately around forty minutes to complete. If you agree to participate, you can choose to stop at any time or to skip any questions you do not want to answer. Your answers will be completely confidential; we will not share information that identifies you with anyone and your name and location will be kept safe using a coding system. After entering the questionnaire into a database, we will also restrict access to all information such as your name which will link these responses to you so that you can not be identified and will remain completely anonymous.

Your participation will be highly appreciated.  The answers you give will help provide better information to policy-makers, development practitioners, agricultural extension agents, and program managers so that they can plan for better services that will respond to your needs.   If in the future you have any questions regarding study and the interview, or concerns or complaints we welcome you to ask our (the data collector) contact details.

Would you like to participate in the survey?","No,Yes"
survey,name_enumerator,enumerator_name,Name of the enumerator,
,,,,
respondent,q110_fName,name,name,
respondent,q111_fGender,sex,sex,"Male,Female"
respondent,q112_fEdu,edu,Education level of ${q110_fName},"Primary,Senior secondary,PhD,Matriculation,Bachelors,Masters,No schooling"
respondent,q114_mobile,mobile,Mobile number of ${q110_fName},
respondent,,aadhar_card,Aadhar card,
respondent,q113_socialCategory,group,Social group of ${q110_fName},"Other,SC,General,ST,OBC"
respondent,,father_name,Respondent's father name,
respondent,"currency, unit of measure(dynamic)",local_currency,currency,
respondent,age,age,age of the respondent,
respondent,spouse_edu,spouse_edu,Spouse education,
,,,,
,,,,
location,q105_village,village,Name of village,
location,q101_country,country,Name of country,Any country
location,q102_state,adm_1,Name of ADM1,
location,q103_district,adm_2,Name of ADM2,
location,q104_subDistrict,adm_3,Name of ADM3,
location,,adm_4,Name of ADM4,
location,,adm_5,Name of ADM5,
location,,latitude,,
location,largestPlotGPS,longitude,GPS from the center of the ${q305_cropLargestArea}__${q301_LLU}  plot for ${q115_crop}.Unique ID :${uniqueID},
location,,altitude,This is auto generated ,
location,,accuracy,This is auto generated ,
,,,,
crop,q115_crop,crop_name,Select the crop for the survey (this can be multi select or single select depending on the survey),"Wheat,Maize,Rice"
crop,q116_season,survey_season,Select the season of the ${q115_crop} (Region specific),"Rabi,Summer,Aman,Aus,Boro,Kharif"
crop,q117_harvYear,harvest_year,Select the year in which ${q115_crop} was harvested,2.02E+19
crop,q304_cropCultLand,total_crop_cult_area,Total ${q115_crop} cultivated land (owned and leased) in this season in ${q301_LLU},
crop,q305_cropLargestArea,surveyed_plot,Largest ${q115_crop} plot (owned or leased) in this season in ${q301_LLU},
crop,q704_marketSaleShare,market_sale_share,Share of total ${q115_crop} crop production sold to market (%),"10,80,40,60,70,100,0,20,90,5,30,50"
crop,q706_cropShareAg,crop_income_importance,How important is ${q115_crop} crop to your household income?,"Medium,Low,High"
crop,q707_cropSP,current_crop_sellingprice,Current selling price for ${q115_crop} crop sold to market? (Rs/ quintal),
crop,q708_cropAvgSP,crop_avg_sellingprice,Average selling price for ${q115_crop} crop sold to market (Rs / quintal) (average over the last five years),
crop,,crop_agincome_share_5year,Share of total agricultural income derive from $crop (%)? (approximate value over the last 5 years),
,,,,
cropcut,,cropcut_previous_participation,Previous year participation in cropcut?,
cropcut,cropCutDone,cropcut_done,Was crop cut done in your field?,"No,Yes"
cropcut,,cropcut_date,Cropcut year,
cropcut,,cropcut_quadrants,Number of cropcut quadrants,
cropcut,,fieldID,,
cropcut,,crop,,
cropcut,,ID,,
cropcut,,tagb_quad_1,Total above ground biomass- fresh weight from quadrant (kg) ,
cropcut,,area_quad_1,Enter the area of the first quadrant? (unit to be defined as per region selection),
cropcut,,grain_weight_quad_1,Grain weight(kg) in  the second quadrant,
cropcut,,moist_quad_1,Moisture % of grain at the time of measuring grain weight,
cropcut,,tagb_quad_2,Total above ground biomass- fresh weight from quadrant (kg) ,
cropcut,,area_quad_2,Enter the area of the first quadrant? (unit to be defined as per region selection),
cropcut,,grain_weight_quad_2,Grain weight(kg) in  the second quadrant,
cropcut,,moist_quad_2,"Moisture % of grain at the time of measuring grain
weight",
cropcut,,tagb_quad_3,Total above ground biomass- fresh weight from quadrant (kg) ,
cropcut,,area_quad_3,Enter the area of the first quadrant? (unit to be defined as per region selection),
cropcut,,grain_weight_quad_3,Grain weight(kg) in  the second quadrant,
cropcut,,moist_quad_3,"Moisture % of grain at the time of measuring grain
weight",
cropcut,ccCheck,,"You have pulled data for ${fname} who resides in village: ${village}; 
block : ${block}; 
district : ${district} ;
contact number is : ${mobile} ;
grain yield is : ${grainYield_tonPerHa} ton per hectare

If all the information entered is true then proceed ahead else go back and recheck the farmer's name on which you did crop cut",
,,,,
landholding,C,,Land Unit and Ownership,
landholding,q301_LLU,llu,Select the local land unit used by ${q110_fName} referring to the largest plot ,"Kattha,Acre,Bigha,Decimal,Dhur,Guntha"
landholding,q302_acreConv,local_to_acre,How many ${q301_LLU} are in 1 acre?,
landholding,q303_cultLand,local_to_ha,How many ${q301_LLU} are in 1 hectare?,
landholding,,total_landholding,Total landholding,
landholding,q303_cultLand,total_cultivated_land,Total cultivated land (owned and leased) in this season in ${q301_LLU},
landholding,total_rice_cult_area,total_crop_cult_area,Total crop cultivated area (crop specific),
landholding,largest_plot_area,surveyed_plot,Largest plot (Survyed plot),
landholding,,total_land_leased_in,Land leased in (Kattha),
landholding,,total_land_leased_out,Land leased out in Kattha,
,,,,
plot_characteristics,q307_largestPlotType,ownership,Type of ownership of the largest [${q305_cropLargestArea}__${q301_LLU} ] ${q115_crop} plot ?,"Leased-in,Owned,Share Cropping"
plot_characteristics,q401_soilTexture,soil_texture,Soil texture of the largest [${q305_cropLargestArea}__${q301_LLU}] ${q115_crop} plot,"Medium,Light,Heavy"
plot_characteristics,q404_RecedeWater,recede_water,"After flooding/flood irrigation, how long does it take to recede water from your largest ${q305_cropLargestArea}__${q301_LLU} plot? ","1 day,4 days,2 Weeks,5 days,7 days,1 Week,4 Weeks,2 days,6 days,3 Weeks,3 days"
plot_characteristics,q405_drainClass,drainage_class,Drainage class of the largest [${q305_cropLargestArea}__${q301_LLU}] ${q115_crop} plot,"Medium land,Upland,Low land"
plot_characteristics,q406_soilPerception,soil_perception,Farmer?s perception of soil quality on the plot of ${q305_cropLargestArea}__${q301_LLU} ,"Medium,Low,High"
,,,,
crop_establishment,,water_status,Water Satus ,"Rainfed, continous flooded"
crop_establishment,q402_DryField,dry_field,"At the end of the wet season, when is your largest ${q305_cropLargestArea}__${q301_LLU} plot dry enough to have access for dry crop?","After 4th week of December,4th week of November,3rd week of December,4th week of October,3rd week of November,4th week of December,Before 3rd week of October,3rd week of October,1st week of November,1st week of December,2nd week of December,2nd week of November"
crop_establishment,q403_DryField5Years,dry_field_five_year_avg,"Over the last five years, at the end of the wet season, when is your largest ${q305_cropLargestArea}__${q301_LLU} plot dry enough to have access for dry crop?","After 4th week of December,4th week of November,3rd week of December,4th week of October,3rd week of November,4th week of December,Before 3rd week of October,3rd week of October,1st week of November,1st week of December,2nd week of December,2nd week of November"
crop_establishment,,was_land_fallow,Was  the largest plot  fallow between two crops (Wheat and previous crop)?  ,
crop_establishment,,fallow_duration,"Fallow duration(days) between two crops  (Harvested rice and the previous crop)
 (Keep ""0"" if there is no fallow)",
crop_establishment,,water_logged_during_fallow,During fallow period was it water logged?,
crop_establishment,,fallow_waterlogged_days,"If yes, for how many days the land was waterlogged? ",
crop_establishment,q407_prevCrop,previous_crop,Previous major crop cultivated before ${q115_crop} in ${q305_cropLargestArea}__${q301_LLU} plot,"Jowar,Redgram,PigeonPea,Soybean,Caster,Rice,Maize,Bajra,Turmeric,Lentil,GreenManure,Greengram,Vegetables,Chilli,Wheat,Mentha,Cotton,Sugarcane,Blackgram,Sunflower,Groundnut,IndianMustard,Pulses,Other,Fallow,Chickpea (Gram),Banana,Mungbean"
crop_establishment,,other_previous_crop,Name of other previous crop,
crop_establishment,q408_ThirdCrop,third_crop_yesno,Have you grown any third crop on ${q305_cropLargestArea}__${q301_LLU} plot,"No,Yes"
crop_establishment,q409_ThirdCropName,third_crop_name,Select the third crop grown on ${q305_cropLargestArea}__${q301_LLU} plot,"Jowar,Redgram,PigeonPea,Tobacco,Potato,Caster,Rice,Soybean,Maize,Bajra,Turmeric,GreenManure,Greengram,Vegetables,Chilli,Wheat,Mentha,Cotton,Blackgram,Sunflower,Groundnut,IndianMustard,Pulses,Other,Fallow,Mungbean"
